sample_id,soil_type,N,P,K,pH,organic_matter,moisture,temperature,EC,zinc,iron,manganese,copper,boron,recommended_crop,fertilizer_recommendation
S001,Alluvial,85,40,42,6.8,2.1,35.2,22.5,0.45,4.2,12.3,2.1,0.8,0.6,Rice,"Urea: 100kg/ha, DAP: 50kg/ha, MOP: 30kg/ha"
S002,Black Cotton,72,55,48,7.2,1.8,42.5,28.3,0.62,3.8,10.1,1.9,0.6,0.4,Cotton,"Urea: 80kg/ha, SSP: 250kg/ha, MOP: 50kg/ha"
S003,Red Laterite,55,30,35,5.9,1.2,28.7,31.2,0.38,5.1,14.5,2.8,1.1,0.3,Groundnut,"Urea: 60kg/ha, SSP: 375kg/ha, MOP: 40kg/ha"
S004,Sandy Loam,65,45,50,7.0,1.5,22.3,25.8,0.52,4.0,11.2,2.3,0.7,0.5,Wheat,"Urea: 120kg/ha, DAP: 60kg/ha, MOP: 40kg/ha"
S005,Clay Loam,92,62,55,6.5,2.5,48.1,21.4,0.71,3.5,9.8,1.7,0.5,0.7,Sugarcane,"Urea: 200kg/ha, SSP: 300kg/ha, MOP: 100kg/ha"
S006,Loamy,78,48,44,6.9,2.0,38.6,23.7,0.49,4.1,11.8,2.0,0.9,0.5,Maize,"Urea: 110kg/ha, DAP: 55kg/ha, MOP: 35kg/ha"
S007,Sandy,45,25,30,6.2,0.9,18.4,34.5,0.31,5.5,15.2,3.1,1.3,0.2,Bajra,"Urea: 50kg/ha, SSP: 200kg/ha, MOP: 25kg/ha"
S008,Clay,88,58,52,7.4,2.3,52.3,19.8,0.68,3.2,9.2,1.5,0.4,0.8,Soybean,"Urea: 90kg/ha, DAP: 70kg/ha, MOP: 45kg/ha"
S009,Silty Loam,76,44,46,6.7,1.9,36.9,24.2,0.55,4.3,12.0,2.2,0.8,0.6,Mustard,"Urea: 100kg/ha, SSP: 250kg/ha, MOP: 40kg/ha"
S010,Peaty,95,65,60,5.5,3.2,62.4,18.3,0.85,2.8,8.5,1.2,0.3,1.0,Rice,"Urea: 150kg/ha, DAP: 80kg/ha, MOP: 60kg/ha"
S011,Saline,50,35,38,8.1,1.0,30.2,29.7,1.20,3.9,10.8,1.8,0.6,0.3,Barley,"Urea: 70kg/ha, SSP: 225kg/ha, MOP: 30kg/ha"
S012,Chalky,62,38,40,7.8,1.3,24.6,27.1,0.58,4.4,12.5,2.4,1.0,0.4,Chickpea,"Urea: 40kg/ha, SSP: 300kg/ha, MOP: 30kg/ha"
S013,Peat,80,50,49,6.1,2.8,55.7,20.6,0.74,3.6,10.3,1.6,0.5,0.9,Banana,"Urea: 180kg/ha, DAP: 90kg/ha, MOP: 120kg/ha"
S014,Silt,70,42,43,6.6,1.7,33.8,25.0,0.47,4.2,11.5,2.1,0.8,0.5,Lentil,"Urea: 30kg/ha, SSP: 275kg/ha, MOP: 25kg/ha"
S015,Volcanic,100,70,65,6.3,3.5,45.0,22.0,0.90,3.0,9.0,1.4,0.3,1.2,Coffee,"Urea: 160kg/ha, DAP: 100kg/ha, MOP: 80kg/ha"
